id,latitude,longitude,elevation
2770,61.85,24.2833,153
43149,17.7167,83.2333,3
FTTH0,9.4,16.3,357
37187,43.1,40.6333,11
65522,10.3333,-3.1833,333
D4617,47.6699,11.8544,1369
99430,48.3833,-124.7333,31
32076,50.4,143.7667,8
81830,-5.1861,-40.6717,291
68330,-26.8833,22.05,932
GU5EC,-38.6,146.7,13
56444,28.5,98.9,3488
D7326,51.1918,12.7645,134
15287,45.5,27.5,18
6249,52.6428,4.9789,-2
15259,45.5667,25.55,1784
B00EP,34.64586,-106.83634,1585
7QQX2,46,-64.9,46
83766,-23.3833,-51.1833,566
32121,47.9833,142.2,19
KFWS0,32.5652,-97.3081,213
76843,16.75,-93.1167,528
23829,61.3333,63.4833,116
2482,60.2689,16.9772,56
2278,63.1833,19.0167,13
CYWR0,48.6,-85.2833,379
PHSF0,19.76,-155.5538,1887
6042,57.4361,10.5489,3
74532,39.1833,-103.7,0
86828,-20.7506,-41.4889,138
48057,20.7833,97.05,1436
42419,26.8333,93.5833,0
98653,9.8,125.5,54
72790,47.3081,-119.5169,389
3225,54.5,-2.6833,249
99284,-17.9667,-85.05,3
33548,48.65,26.6667,217
38915,37.5167,66.0167,266
71143,51.75,-99.9,256
84773,-17.6833,-71.35,9
6757,46.2975,8.9919,260
42487,25.5667,84.6667,58
54643,38.9667,119.95,6
54161,43.9,125.2167,238
87395,-31.3,-58.0167,35
6144,54.7,11.45,5
KI680,39.4622,-84.2518,274
15300,45.6333,25.5833,538
EFYL0,64.05,24.7333,77
62389,30.75,27.7,0
I30QY,50.2696,7.8199,220
71473,48.78,-123.04,24
16687,38.15,21.4167,11
15409,44.7667,28.8833,37
KWVL0,44.5333,-69.6755,102
65210,6.8333,3.9333,77
62300,31.5333,25.1833,6
D4555,52.663,12.1812,29
81415,3.6333,-54.0333,105
KJHW0,42.1534,-79.258,525
MMOX0,16.9986,-96.7261,1528
37001,44.8833,37.2833,6
KLCG0,42.2416,-96.9823,436
47046,40.0333,128.1833,15
71168,61.05,-109.3333,396
FDHL0,-26.9667,31.3167,1190
7412,45.6667,-0.3167,30
89324,-80,-120,1530
70306,59.324,-155.9018,27
63702,-0.6167,30.65,1412
40945,34.8167,67.8167,0
ESTA0,56.3,12.85,20
PASP0,61.812,-147.5069,838
65439,7.3333,-2.3333,309
D3913,52.3817,9.0176,43
159ZX,56.54,-76.52,76
71016,49.15,-113.55,1326
42754,22.7167,75.8,561
D4300,48.1814,8.6356,588
6311,51.3778,3.6722,0
57598,29.0333,114.5833,147
88963,-63.4,-56.9833,13
71550,51.1,-100.06,304
1489,60.0514,10.6878,330
D2387,48.0374,10.7409,626
71279,50.22,-66.25,53
15088,47.0981,25.2461,2022
93656,-42.7669,172.8894,174
KMDD0,32.0365,-102.101,854
47163,34.9833,126.3667,36
95838,-36.7397,146.4672,365
38606,40.55,70.95,405
28214,58.1333,52.5833,170
12120,54.75,17.5333,2
67477,-11.9,31.4333,1400
6740,46.7706,8.4258,3040
16281,40.9,12.95,184
KPRG0,39.7002,-87.6696,199
82861,-8.25,-49.2833,157
47173,35.4053,127.3331,91
22003,69.95,32.0333,8
KPVC0,42.0723,-70.2207,2
YESP0,-33.6844,121.823,143
20046,80.6167,58.05,20
86663,-13.0386,-57.0922,353
47618,36.25,137.9667,610
29037,59.3833,82.8333,68
KGYI0,33.7141,-96.6737,228
RKTL0,36.7769,129.4617,29
10505,50.7667,7.1667,60
2626,56.3667,13.95,83
67785,-17.5833,30.9667,1290
68841,-33.4422,25.7486,105
68378,-27.7333,29.9167,1235
94926,-35.3,149.2,575
13611,41.3,19.45,15
47750,35.45,135.3167,3
1049,69.9833,23.3667,3
89065,-71.3333,-68.35,55
60415,36.3167,3.5333,748
KCFS0,43.45,-83.45,214
91574,-19.9667,158.5167,3
98836,6.9,122.0667,5
3590,52.1167,0.9667,87
94300,-24.9,113.7,4
7024,49.65,-1.4667,138
11692,49.1667,16.1333,472
FB084,51.7204,8.0577,120
KSPW0,43.1655,-95.2028,408
26544,55.8667,26.6167,122
KPVU0,40.2192,-111.7234,1371
28637,55,57.9833,415
